날짜,구분,활동내용,세부결과,담당자,비고
2026-07-01,개발,section_planner 동적 템플릿 분기 설계 착수,고정 템플릿 모드 요구사항 정의 완료,홍길동,템플릿 모드 v1
2026-07-02,개발,data_ingest.py 초안 작성,Excel/CSV -> chunk 변환 함수 프로토타입 구현,홍길동,pandas 기반
2026-07-03,회의,팀 스탠드업 - RAG 오염 이슈 공유,2024_프로젝트_이력.docx 무관 문서 매칭 버그 확인 및 원인 분석,팀 전체,source_type 분리 필요성 논의
2026-07-04,개발,classifier.py에 provided_data 타입 추가,실행 1회성 데이터와 영구 RAG 인덱스 분리 로직 구현,홍길동,메모리 한정 저장
2026-07-07,테스트,고정 템플릿 모드 1차 검증,감바랩스 보고서 템플릿에 목업 데이터 매핑 테스트,홍길동,3개 섹션 매칭 확인
2026-07-08,개발,templates.py에 활동보고서 템플릿 등록,섹션 리스트만 정의 (개요/주요내용/결론),홍길동,이미지 참고 템플릿화
2026-07-09,이슈,매칭 안 된 섹션 처리 로직 부재,근거 부족 섹션에 대한 '검토 필요' 표시 기능 추가 필요,홍길동,main.py 수정 예정
2026-07-10,회의,감바랩스 내부 리뷰,자유형식 vs 고정템플릿 모드 분기 UX 확정,팀 전체,사용자 플래그로 모드 선택
2026-07-11,개발,Slack /report 커맨드에 템플릿 옵션 파라미터 추가,--template 플래그 파싱 구현,홍길동,Socket Mode 연동
2026-07-14,테스트,비정형 텍스트 청크 변환 테스트,회의록 텍스트 -> 주제어 메타데이터 추출 확인,홍길동,정확도 개선 필요
